2026-03-16 14:29:58 - User ID: 1, Role: user, Action: registration
2026-03-16 14:30:02 - User ID: 1, Role: user, Action: login
2026-03-16 14:36:06 - User ID: 1, Role: user, Action: logout
2026-03-16 14:40:29 - User ID: 1, Role: user, Action: login
2026-03-16 14:40:45 - User ID: 1, Role: user, Action: logout
2026-03-16 14:40:47 - User ID: 1, Role: user, Action: login
2026-03-16 14:40:50 - User ID: 1, Role: user, Action: logout
2026-03-16 14:41:40 - User ID: 1, Role: admin, Action: registration
2026-03-16 14:41:48 - User ID: 1, Role: admin, Action: login
2026-03-16 14:42:57 - User ID: 1, Role: admin, Action: logout
2026-03-16 14:43:09 - User ID: 1, Role: user, Action: login
2026-03-16 14:43:16 - User ID: 1, Role: user, Action: logout
2026-03-16 14:53:51 - User ID: 1, Role: admin, Action: login
2026-03-16 14:54:21 - User ID: 1, Role: admin, Action: logout
2026-03-16 14:56:44 - User ID: 1, Role: admin, Action: login
2026-03-16 15:32:19 - User ID: 2, Role: user, Action: registration
2026-03-16 15:32:43 - User ID: 2, Role: user, Action: login
2026-03-16 15:32:49 - User ID: 2, Role: user, Action: logout
2026-03-16 15:32:55 - User ID: 1, Role: user, Action: login
2026-03-16 15:32:59 - User ID: 1, Role: user, Action: logout
2026-03-16 15:45:37 - User ID: 1, Role: admin, Action: login
2026-03-16 15:45:42 - User ID: 1, Role: admin, Action: logout
2026-03-16 16:05:06 - User ID: 3, Role: user, Action: registration
2026-03-16 16:05:23 - User ID: 3, Role: user, Action: login
2026-03-16 16:05:29 - User ID: 3, Role: user, Action: logout
2026-03-16 16:13:17 - User ID: 1, Role: admin, Action: login
2026-03-16 16:13:21 - User ID: 1, Role: admin, Action: logout
2026-03-16 16:13:26 - User ID: 1, Role: user, Action: login
2026-03-16 16:16:14 - User ID: 1, Role: user, Action: logout
2026-03-16 16:16:23 - User ID: 1, Role: user, Action: login
2026-03-16 16:16:25 - User ID: 1, Role: user, Action: logout
2026-03-17 19:20:48 - User ID: 1, Role: user, Action: login
2026-03-17 19:20:53 - User ID: 1, Role: user, Action: logout
2026-03-17 19:24:14 - User ID: 1, Role: user, Action: login
2026-03-17 19:24:21 - User ID: 1, Role: user, Action: logout
2026-03-17 19:24:22 - User ID: 1, Role: user, Action: login
2026-03-17 19:24:28 - User ID: 1, Role: user, Action: logout
2026-03-17 19:24:29 - User ID: 1, Role: user, Action: login
2026-03-17 19:32:17 - User ID: 1, Role: user, Action: logout
2026-03-17 19:32:39 - User ID: 1, Role: user, Action: login
2026-03-17 19:32:41 - User ID: 1, Role: user, Action: logout
2026-03-17 19:40:07 - User ID: 1, Role: user, Action: login
2026-03-17 19:40:10 - User ID: 1, Role: user, Action: logout
2026-03-17 19:40:37 - User ID: 1, Role: admin, Action: login
2026-03-18 02:02:03 - User ID: 1, Role: admin, Action: login
2026-03-18 02:02:51 - User ID: 1, Role: admin, Action: deleted_user:1
2026-03-18 02:02:54 - User ID: 1, Role: admin, Action: deleted_user:2
2026-03-18 02:03:06 - User ID: 1, Role: admin, Action: logout
2026-03-18 02:04:21 - User ID: 2, Role: admin, Action: registration
2026-03-18 02:04:59 - User ID: 2, Role: admin, Action: login
2026-03-18 02:05:11 - User ID: 2, Role: admin, Action: logout
2026-03-18 02:06:23 - User ID: 4, Role: user, Action: registration
2026-03-18 02:07:24 - User ID: 4, Role: user, Action: login
2026-03-18 02:29:58 - User ID: 4, Role: user, Action: logout
2026-03-18 08:06:10 - User ID: 1, Role: admin, Action: login
2026-03-18 08:06:52 - User ID: 1, Role: admin, Action: logout
2026-03-18 08:21:46 - User ID: 3, Role: admin, Action: registration
2026-03-18 08:22:55 - User ID: 3, Role: admin, Action: login
2026-03-18 08:23:13 - User ID: 3, Role: admin, Action: logout
2026-03-18 08:25:07 - User ID: 5, Role: user, Action: registration
2026-03-18 08:25:34 - User ID: 5, Role: user, Action: login
2026-05-16 16:03:35 - User ID: 1, Role: user, Action: registration
2026-05-16 16:21:18 - User ID: 1, Role: user, Action: login
2026-05-16 16:37:55 - User ID: 1, Role: user, Action: logout
2026-05-16 16:39:04 - User ID: 1, Role: admin, Action: registration
2026-05-16 16:39:46 - User ID: 1, Role: admin, Action: login
2026-05-16 17:15:41 - User ID: 1, Role: admin, Action: logout
2026-05-16 17:16:08 - User ID: 1, Role: user, Action: login
2026-05-17 00:13:32 - User ID: 1, Role: user, Action: login
2026-05-17 01:32:08 - User ID: 1, Role: user, Action: logout
2026-05-17 01:35:40 - User ID: 1, Role: admin, Action: login
2026-05-17 01:37:16 - User ID: 1, Role: admin, Action: logout
2026-05-17 02:09:34 - User ID: 1, Role: user, Action: login
2026-05-17 02:11:38 - User ID: 1, Role: user, Action: logout
2026-05-17 04:22:47 - User ID: 1, Role: user, Action: registration
2026-05-17 04:25:02 - User ID: 1, Role: user, Action: login
2026-05-17 11:58:49 - User ID: 1, Role: user, Action: login
2026-05-18 11:12:47 - User ID: 1, Role: user, Action: login
2026-05-18 11:12:49 - User ID: 1, Role: user, Action: logout
2026-05-18 12:01:04 - User ID: 1, Role: user, Action: login
2026-05-18 12:37:45 - User ID: 1, Role: user, Action: logout
2026-05-18 12:38:13 - User ID: 1, Role: user, Action: login
2026-05-18 12:41:17 - User ID: 1, Role: user, Action: logout
2026-05-18 13:11:12 - User ID: 1, Role: user, Action: login
2026-05-18 15:25:31 - User ID: 1, Role: user, Action: login
2026-05-19 07:51:53 - User ID: 1, Role: user, Action: login
2026-05-19 07:52:50 - User ID: 1, Role: user, Action: logout
